"target_end_date","q2.5","q10","q20","q25","q35","q50","q65","q75","q80","q90","q97.5","lwr","med","upr","forecast_date","location"
2021-01-19,74,75,76,76,77,78,79,80,80,81,84,75,78,83,2021-02-02,"CH"
2021-01-20,66,67,68,68,69,70,71,72,73,75,77,66,70,76,2021-02-02,"CH"
2021-01-21,71,72,73,74,75,76,77,78,79,81,84.025,71,76,83,2021-02-02,"CH"
2021-01-22,69,71,72,73,74,75,76.35,78,79,81,86,70,75,84,2021-02-02,"CH"
2021-01-23,24,26,27,28,29,30,32,34,35,38,43,25,30,40,2021-02-02,"CH"
2021-01-24,28,30,31,32,33,35,37,39,40,43,50,29,35,47,2021-02-02,"CH"
2021-01-25,56,58,60,61,62,65,68,70,71,75.1,83.025,57,65,80,2021-02-02,"CH"
2021-01-26,62,65,67,68,70,72.5,76,79,81,86,95,63,72.5,90,2021-02-02,"CH"
2021-01-27,54,57,60,61,63,66,70,73,76,81.1,92.025,55,66,87,2021-02-02,"CH"
2021-01-28,54,58,61,62,65,69,74,78,80,87,99,56,69,94.05,2021-02-02,"CH"
2021-01-29,50,55,59,61,64,68.5,74,79,82,90,105,52,68.5,99,2021-02-02,"CH"
2021-01-30,33,38,42,45,48,53,59,65,69,78,100,35,53,88.05,2021-02-02,"CH"
2021-01-31,24,31,36,38,41.65,48,55,62,66,77,95,27,48,85.05,2021-02-02,"CH"
2021-02-01,20.975,28,33,35,39,45,53,60,64,75.1,101,23,45,87,2021-02-02,"CH"
2021-02-02,15,22,27,29,34,41,50,56,60,73,99,18,41,87,2021-02-02,"CH"
2020-12-30,155,155,155,155,155,155,155,155,155,155,155,155,155,155,2021-02-03,"CH"
2020-12-31,129,129,129,129,129,129,129,129,129,129,129,129,129,129,2021-02-03,"CH"
2021-01-01,58,58,58,58,58,58,58,58,58,58,58,58,58,58,2021-02-03,"CH"
2021-01-02,106,106,106,106,106,106,106,106,106,106,107,106,106,106,2021-02-03,"CH"
2021-01-03,112,112,112,112,112,112,112,112,112,112,113,112,112,112.05,2021-02-03,"CH"
2021-01-04,175,175,175,175,175,175,175,175,175,175,176,175,175,175,2021-02-03,"CH"
2021-01-05,128,128,128,128,128,128,128,128,128,128,129,128,128,129,2021-02-03,"CH"
2021-01-06,118,118,118,118,118,118,118,118,118,119,119,118,118,119,2021-02-03,"CH"
2021-01-07,134,134,134,134,134,134,134,134,134,135,135,134,134,135,2021-02-03,"CH"
2021-01-08,123,123,123,123,123,123,123,123,123,124,125,123,123,124,2021-02-03,"CH"
2021-01-09,70,70,70,70,70,70,70,70,71,71,72,70,70,71,2021-02-03,"CH"
2021-01-10,65,65,65,65,65,65,65,66,66,66,67,65,65,67,2021-02-03,"CH"
2021-01-11,118,118,118,118,118,118,118,119,119,120,121,118,118,120,2021-02-03,"CH"
2021-01-12,89,89,89,89,89,89,90,90,90,91,92,89,89,91,2021-02-03,"CH"
2021-01-13,107,107,107,107,107,107,108,108,108,109,110,107,107,110,2021-02-03,"CH"
2021-01-14,87,87,87,87,87,88,88,89,89,90,92,87,88,91,2021-02-03,"CH"
2021-01-15,88,88,88,88,89,89,90,90,90,91,94,88,89,92,2021-02-03,"CH"
2021-01-16,49,49,49,49,50,50,51,51,52,53,55,49,50,54,2021-02-03,"CH"
2021-01-17,55,55,55,55,56,56,57,58,58,60,63,55,56,61,2021-02-03,"CH"
2021-01-18,96,96,96,97,97,98,99,99,100,101.1,105,96,98,103,2021-02-03,"CH"
2021-01-19,75,75,76,76,77,77,79,80,80,82,87,75,77,85,2021-02-03,"CH"
2021-01-20,66,66,67,67,68,69,70,71,72,74,79,66,69,77,2021-02-03,"CH"
2021-01-21,70,71,71,72,72,74,75,77,77,81,87,70,74,84,2021-02-03,"CH"
2021-01-22,69,70,71,71,72,73,75,77,78,83,90,70,73,86,2021-02-03,"CH"
2021-01-23,22,23,24,25,26,27,29,31,32,37,46,23,27,41.05,2021-02-03,"CH"
2021-01-24,29,30,31,32,33,35,38,40,41.2,47,55,29,35,51,2021-02-03,"CH"
2021-01-25,53,54,56,57,58,60,63,66,67,74,86,54,60,79,2021-02-03,"CH"
2021-01-26,61,64,65,66,68,71,74,77,80,86,100,62,71,93,2021-02-03,"CH"
2021-01-27,51,52,55,55,57,60,64,68,70,77,96,51,60,86,2021-02-03,"CH"
2021-01-28,53,56,58,59,62,65,71,75,78,89,112,54,65,99,2021-02-03,"CH"
2021-01-29,47,50,53,54,57,62,67,72,75,86,112,48,62,96.05,2021-02-03,"CH"
2021-01-30,28,31,35,36,39,44,50,57,60,73,98,29,44,86,2021-02-03,"CH"
2021-01-31,27,30.9,34,36,40,46,53,60,65,78,110.05,28,46,92,2021-02-03,"CH"
2021-02-01,39,44,49,50,54,61,70,78.25,86,105,147,41,61,126,2021-02-03,"CH"
2021-02-02,13.975,20,24,26,31,38,47,58,65,87,125,16,38,108,2021-02-03,"CH"
2021-02-03,8.975,14,20,22,27,35,47,59,66,92.1,141.125,11,35,117.05,2021-02-03,"CH"
2020-12-31,129,129,129,129,129,129,129,129,129,129,129,129,129,129,2021-02-04,"CH"
2021-01-01,58,58,58,58,58,58,58,58,58,58,58,58,58,58,2021-02-04,"CH"
2021-01-02,106,106,106,106,106,106,106,106,106,106,106,106,106,106,2021-02-04,"CH"
2021-01-03,112,112,112,112,112,112,112,112,112,112,113,112,112,112,2021-02-04,"CH"
2021-01-04,175,175,175,175,175,175,175,175,175,175,176,175,175,176,2021-02-04,"CH"
2021-01-05,128,128,128,128,128,128,128,128,128,129,129,128,128,129,2021-02-04,"CH"
2021-01-06,118,118,118,118,118,118,118,118,118,119,119.025,118,118,119,2021-02-04,"CH"
2021-01-07,134,134,134,134,134,134,134,135,135,135,136,134,134,136,2021-02-04,"CH"
2021-01-08,124,124,124,124,124,124,125,125,125,126,126,124,124,126,2021-02-04,"CH"
2021-01-09,70,70,70,70,70,70,71,71,71,72,73,70,70,72,2021-02-04,"CH"
2021-01-10,65,65,65,65,65,66,66,66,66,67,68,65,66,68,2021-02-04,"CH"
2021-01-11,118,118,118,118,118,119,119,119.25,120,120,122,118,119,121,2021-02-04,"CH"
2021-01-12,90,90,90,90,90,91,91,92,92,93,94,90,91,93,2021-02-04,"CH"
2021-01-13,107,107,107,107,108,108,109,109,109,110,111,107,108,111,2021-02-04,"CH"
2021-01-14,88,88,88,88,89,89,90,90,91,91,93,88,89,92,2021-02-04,"CH"
2021-01-15,88,88,88,89,89,89,90,91,91,92,94,88,89,93,2021-02-04,"CH"
2021-01-16,49,49,50,50,50,51,51,52,52,53,55,49,51,54,2021-02-04,"CH"
2021-01-17,56,56,57,57,57,58,59,60,60,61,63,56,58,62,2021-02-04,"CH"
2021-01-18,96,96,97,97,98,99,99,100,100,102,104,96,99,102.05,2021-02-04,"CH"
2021-01-19,75,76,76,77,77,78,79,79,80,81,83,75,78,82,2021-02-04,"CH"
2021-01-20,69,70,70,71,71,72,73,74,75,76,78,69,72,77,2021-02-04,"CH"
2021-01-21,72,73,74,74,75,75,77,78,78,80,83,72.95,75,81,2021-02-04,"CH"
2021-01-22,70,70,71,71,72,73,74,75,76,78,81,70,73,80,2021-02-04,"CH"
2021-01-23,25,26,27,27,28,29,30,31,32,34,38,25,29,36,2021-02-04,"CH"
2021-01-24,29,30,31,31.75,32,33,35,36,37,39,43,30,33,41,2021-02-04,"CH"
2021-01-25,57,59,60,60,61,62.5,64,66,67,69,74,58,62.5,71,2021-02-04,"CH"
2021-01-26,64,66,68,68,69,71,72,74,75,78,83,65,71,80,2021-02-04,"CH"
2021-01-27,56,58,59.8,60,62,63,65,67,68,71.1,77,57,63,75,2021-02-04,"CH"
2021-01-28,55,56.9,58,59,60,62,65,66,67,71,78.025,55,62,75,2021-02-04,"CH"
2021-01-29,48.975,51,52,53,55,57,60,62,63,67,73,49,57,70,2021-02-04,"CH"
2021-01-30,34,37,39,40,42,44,48,50,51,57,65,35,44,61,2021-02-04,"CH"
2021-01-31,31,34,37,39,41,44,47,50,52,57,66,32,44,62,2021-02-04,"CH"
2021-02-01,46,50,53,54,57,60,64,67,69,75,85,48,60,80.05,2021-02-04,"CH"
2021-02-02,42,46,49,50,53,57,62,67,69,76.1,89,43,57,84,2021-02-04,"CH"
2021-02-03,18,23,27,29,32,36,41,45,48,56,78,20,36,67,2021-02-04,"CH"
2021-02-04,12.975,18,22,24,28,34,39,45,48,60,77.025,15,34,68,2021-02-04,"CH"
2021-01-01,59,59,59,59,59,59,59,59,59,59,59,59,59,59,2021-02-05,"CH"
2021-01-02,108,108,108,108,108,108,108,108,108,108,108,108,108,108,2021-02-05,"CH"
2021-01-03,112,112,112,112,112,112,112,112,112,112,112,112,112,112,2021-02-05,"CH"
2021-01-04,175,175,175,175,175,175,175,175,175,175,175,175,175,175,2021-02-05,"CH"
2021-01-05,128,128,128,128,128,128,128,128,128,128,129,128,128,128,2021-02-05,"CH"
2021-01-06,118,118,118,118,118,118,118,118,118,118,119,118,118,119,2021-02-05,"CH"
2021-01-07,135,135,135,135,135,135,135,135,135,136,136,135,135,136,2021-02-05,"CH"
2021-01-08,124,124,124,124,124,124,124,125,125,125,126,124,124,126,2021-02-05,"CH"
2021-01-09,70,70,70,70,70,70,70,71,71,71,73,70,70,72,2021-02-05,"CH"
2021-01-10,65,65,65,65,65,65,66,66,66,67,68,65,65,67,2021-02-05,"CH"
2021-01-11,120,120,120,120,120,120.5,121,121,121,122,123,120,120.5,122,2021-02-05,"CH"
2021-01-12,91,91,91,91,91,92,92,92,93,93,94.025,91,92,94,2021-02-05,"CH"
2021-01-13,107,107,107,107,107,108,108,108,109,109,111,107,108,110,2021-02-05,"CH"
2021-01-14,88,88,88,88,88,89,89,90,90,91,92,88,89,91,2021-02-05,"CH"
2021-01-15,88,88,88,88,89,89,89,90,90,91,93,88,89,92,2021-02-05,"CH"
2021-01-16,49,49,49,49,50,50,51,51,52,53,54,49,50,53,2021-02-05,"CH"
2021-01-17,56,56,56,57,57,57,58,58,59,60,62,56,57,61,2021-02-05,"CH"
2021-01-18,99,99,100,100,100,101,101,102,102,103,105,99,101,104,2021-02-05,"CH"
2021-01-19,77,77,78,78,78,79,79,80,80,82,83,77,79,83,2021-02-05,"CH"
2021-01-20,69,69,70,70,70,71,72,72,73,74,77,69,71,75,2021-02-05,"CH"
2021-01-21,74,74,75,75,76,76,77,78,78,80,82,74,76,81,2021-02-05,"CH"
2021-01-22,72,73,73,73,74,75,76,76,77,78,80,72,75,79,2021-02-05,"CH"
2021-01-23,25,26,26,27,27,28,29,30,30,32,35,25,28,33,2021-02-05,"CH"
2021-01-24,28,29,30,30,31,32,33,34,34,36,39,29,32,37,2021-02-05,"CH"
2021-01-25,59,60,60,61,61,62,64,65,65,67,70.025,59,62,69,2021-02-05,"CH"
2021-01-26,65,66,67,67,68,69,71,72,73,75,79,65,69,76,2021-02-05,"CH"
2021-01-27,56,57,58,59,60,61,62,64,65,68,72.025,56,61,70,2021-02-05,"CH"
2021-01-28,54,55,56,57,58,59,61,62,63,66.1,72,54,59,69,2021-02-05,"CH"
2021-01-29,48,50,51,52,53,55,57,58,60,63,69.025,49,55,66,2021-02-05,"CH"
2021-01-30,34,36,37,38,39,42,44,46,47,51,58,34,42,55,2021-02-05,"CH"
2021-01-31,30,33,35,35,37,39,43,45,46,52,61,31,39,56,2021-02-05,"CH"
2021-02-01,49,52,54,55,57,60,64,67,69,73,84.025,50,60,78.05,2021-02-05,"CH"
2021-02-02,46,49,52,53,56,60,64,68,71,79,95,47,60,86,2021-02-05,"CH"
2021-02-03,42,46,50,51,54,58.5,64,68,71,82,98,44,58.5,91,2021-02-05,"CH"
2021-02-04,18,24,28,30,34,39,45,51,54.2,65,86,20.95,39,77,2021-02-05,"CH"
2021-02-05,12,18,23,25,29,37,44,50,54,69,94.025,14.95,37,80,2021-02-05,"CH"
2021-01-02,108,108,108,108,108,108,108,108,108,108,108,108,108,108,2021-02-06,"CH"
2021-01-03,112,112,112,112,112,112,112,112,112,112,112,112,112,112,2021-02-06,"CH"
2021-01-04,175,175,175,175,175,175,175,175,175,175,175,175,175,175,2021-02-06,"CH"
2021-01-05,128,128,128,128,128,128,128,128,128,128,129,128,128,129,2021-02-06,"CH"
2021-01-06,118,118,118,118,118,118,118,118,118,119,119,118,118,119,2021-02-06,"CH"
2021-01-07,135,135,135,135,135,135,135,135,135,136,136,135,135,136,2021-02-06,"CH"
2021-01-08,124,124,124,124,124,124,124,125,125,125,126,124,124,125,2021-02-06,"CH"
2021-01-09,70,70,70,70,70,70,70,71,71,71,72,70,70,72,2021-02-06,"CH"
2021-01-10,65,65,65,65,65,65,66,66,66,67,68,65,65,67,2021-02-06,"CH"
2021-01-11,120,120,120,120,120,120,121,121,121,122,123,120,120,122,2021-02-06,"CH"
2021-01-12,91,91,91,91,91,91,92,92,92,93,94,91,91,93,2021-02-06,"CH"
2021-01-13,107,107,107,107,107,108,108,108,108,109,110,107,108,110,2021-02-06,"CH"
2021-01-14,88,88,88,88,88,89,89,89,90,90,91,88,89,91,2021-02-06,"CH"
2021-01-15,88,88,88,88,88,89,89,89.25,90,90,92,88,89,91,2021-02-06,"CH"
2021-01-16,49,49,49,49,49,50,50,51,51,52,53,49,50,52.05,2021-02-06,"CH"
2021-01-17,56,56,56,56,57,57,57,58,58,59,60,56,57,60,2021-02-06,"CH"
2021-01-18,99,99,99,99,100,100,101,101,101,102,104,99,100,103,2021-02-06,"CH"
2021-01-19,77,77,77,78,78,78,79,79,80,80,82,77,78,81,2021-02-06,"CH"
2021-01-20,69,69,69,70,70,70,71,72,72,73,74,69,70,74,2021-02-06,"CH"
2021-01-21,74,74,75,75,75,76,76,77,77,78,80,74,76,79,2021-02-06,"CH"
2021-01-22,72,72,73,73,73,74,75,75,75,77,79,72,74,78,2021-02-06,"CH"
2021-01-23,25,25,26,26,26,27,28,29,29,30,32,25,27,31,2021-02-06,"CH"
2021-01-24,28,29,29,29,30,30,31,32,32,34,36,28,30,35,2021-02-06,"CH"
2021-01-25,58,59,59,59,60,61,62,62,63,65,67,58,61,66,2021-02-06,"CH"
2021-01-26,64,65,66,66,67,68,69,69,70,72,74,65,68,73,2021-02-06,"CH"
2021-01-27,55,56,57,58,58,59,60,61,62,64,67,56,59,65,2021-02-06,"CH"
2021-01-28,53,54,55,55,56,57,58,59,60,61,64,53,57,63,2021-02-06,"CH"
2021-01-29,47,48,49,50,51,52,53,54,55,57,62,48,52,59,2021-02-06,"CH"
2021-01-30,32,34,35,35,36,38,40,41,42,44,49.025,33,38,47,2021-02-06,"CH"
2021-01-31,28,30,31,32,33,34,37,38,39,42,48,29,34,45,2021-02-06,"CH"
2021-02-01,47,49,50,51,52,54,57,58.25,60,64,71,48,54,67,2021-02-06,"CH"
2021-02-02,43,46,48,49,50,53,56,58,60,65,73.025,44,53,69,2021-02-06,"CH"
2021-02-03,39,41,44,45,47,50,53.35,57,59,64,75,40,50,69.05,2021-02-06,"CH"
2021-02-04,15,19,22,23,25,29,33,37,40,45.1,60,17,29,52.05,2021-02-06,"CH"
2021-02-05,7,11,15,16,19,24,29,34,36,43.1,60,9,24,50.05,2021-02-06,"CH"
2021-02-06,9,15,19,21,24,28,34,40,43,53,70.025,12,28,62,2021-02-06,"CH"
2021-01-03,112,112,112,112,112,112,112,112,112,112,112,112,112,112,2021-02-07,"CH"
2021-01-04,175,175,175,175,175,175,175,175,175,175,175,175,175,175,2021-02-07,"CH"
2021-01-05,128,128,128,128,128,128,128,128,128,128,128,128,128,128,2021-02-07,"CH"
2021-01-06,118,118,118,118,118,118,118,118,118,118,118,118,118,118,2021-02-07,"CH"
2021-01-07,135,135,135,135,135,135,135,135,135,135,136,135,135,135,2021-02-07,"CH"
2021-01-08,124,124,124,124,124,124,124,124,124,124,125,124,124,125,2021-02-07,"CH"
2021-01-09,70,70,70,70,70,70,70,70,70,70,71,70,70,71,2021-02-07,"CH"
2021-01-10,65,65,65,65,65,65,65,65,65,66,66,65,65,66,2021-02-07,"CH"
2021-01-11,120,120,120,120,120,120,120,120,120,121,122,120,120,121,2021-02-07,"CH"
2021-01-12,91,91,91,91,91,91,91,92,92,92,93,91,91,92,2021-02-07,"CH"
2021-01-13,107,107,107,107,107,107,107,108,108,108,109,107,107,109,2021-02-07,"CH"
2021-01-14,88,88,88,88,88,88,89,89,89,90,91,88,88,90,2021-02-07,"CH"
2021-01-15,88,88,88,88,88,88,89,89,89,90,91,88,88,91,2021-02-07,"CH"
2021-01-16,49,49,49,49,49,50,50,50,50,51,52,49,50,52,2021-02-07,"CH"
2021-01-17,56,56,56,56,56,57,57,58,58,58,60,56,57,59,2021-02-07,"CH"
2021-01-18,99,99,99,99,100,100,100,101,101,102,103,99,100,103,2021-02-07,"CH"
2021-01-19,77,77,77,77,78,78,79,79,79,80,82,77,78,81,2021-02-07,"CH"
2021-01-20,69,69,69,70,70,70,71,71,72,72,74,69,70,73.05,2021-02-07,"CH"
2021-01-21,74,74,75,75,75,76,76,77,77,78,80,74,76,79,2021-02-07,"CH"
2021-01-22,72,72,73,73,73,74,75,75,76,77,78,72,74,78,2021-02-07,"CH"
2021-01-23,25,26,26,26,27,27,28,29,29,30,33,25,27,31,2021-02-07,"CH"
2021-01-24,28,29,29,30,30,31,32,32,33,34,36,28,31,35,2021-02-07,"CH"
2021-01-25,58,59,59,60,60,61,62,63,63,65,67,58,61,66,2021-02-07,"CH"
2021-01-26,64,65,66,67,67,68,69,70,71,72,75,65,68,74,2021-02-07,"CH"
2021-01-27,55,57,58,58,59,60,61,62,63,65,68,56,60,66,2021-02-07,"CH"
2021-01-28,53,54,55,56,56,58,59,60,61,63,67,54,58,64,2021-02-07,"CH"
2021-01-29,47.975,49,50,51,52,53,55,56,57,59,63,48,53,61,2021-02-07,"CH"
2021-01-30,33,35,36,37,38,39,41,43,44,46.1,51,34,39,49,2021-02-07,"CH"
2021-01-31,29,30,32,33,34,35,38,39,40,43,49,29,35,46,2021-02-07,"CH"
2021-02-01,47,49,51,52,53,56,58,60,61,64,71,48,56,68,2021-02-07,"CH"
2021-02-02,44,47,49,50,51,54,57,59,61,66,74,45,54,71,2021-02-07,"CH"
2021-02-03,40,43,45,46,48,51,54,57,58,63.1,73,41,51,68,2021-02-07,"CH"
2021-02-04,16,19,22,23,26,29,33,36,38,44,53.025,17,29,49,2021-02-07,"CH"
2021-02-05,8,12,15,17,19,23,28,31,34,41,55,10,23,48.05,2021-02-07,"CH"
2021-02-06,9,14,18,19,22,27,31.35,36,39,46,63,11,27,55,2021-02-07,"CH"
2021-02-07,11.975,17,21,22,26,31,36,41,44,53,69,13,31,62,2021-02-07,"CH"
2021-01-04,176,176,176,176,176,176,176,176,176,176,176,176,176,176,2021-02-08,"CH"
2021-01-05,129,129,129,129,129,129,129,129,129,129,129,129,129,129,2021-02-08,"CH"
2021-01-06,118,118,118,118,118,118,118,118,118,118,118,118,118,118,2021-02-08,"CH"
2021-01-07,137,137,137,137,137,137,137,137,137,137,137,137,137,137,2021-02-08,"CH"
2021-01-08,124,124,124,124,124,124,124,124,124,124,125,124,124,124,2021-02-08,"CH"
2021-01-09,72,72,72,72,72,72,72,72,72,72,73,72,72,73,2021-02-08,"CH"
2021-01-10,65,65,65,65,65,65,65,65,65,66,66,65,65,66,2021-02-08,"CH"
2021-01-11,120,120,120,120,120,120,120,120,120,121,121,120,120,121,2021-02-08,"CH"
2021-01-12,92,92,92,92,92,92,92,93,93,93,94,92,92,93,2021-02-08,"CH"
2021-01-13,107,107,107,107,107,107,107,108,108,108,109,107,107,109,2021-02-08,"CH"
2021-01-14,92,92,92,92,92,92,93,93,93,94,95,92,92,94,2021-02-08,"CH"
2021-01-15,90,90,90,90,90,91,91,91,91,92,93,90,91,93,2021-02-08,"CH"
2021-01-16,49,49,49,49,49,50,50,51,51,51,53,49,50,52,2021-02-08,"CH"
2021-01-17,56,56,56,56,57,57,57,58,58,59,60,56,57,60,2021-02-08,"CH"
2021-01-18,103,103,103,103,104,104,105,105,106,106,108,103,104,107,2021-02-08,"CH"
2021-01-19,79,79,79.8,80,80,81,81,82,82,83,85,79,81,84,2021-02-08,"CH"
2021-01-20,75,75,76,76,76,77,78,78,79,80,81,75,77,81,2021-02-08,"CH"
2021-01-21,75,75,76,76,77,77,78,79,79,80,82,75,77,81,2021-02-08,"CH"
2021-01-22,75,76,76,76.75,77,78,79,79,80,81,84,75,78,82,2021-02-08,"CH"
2021-01-23,25,26,26,27,27,28,29,30,30,32,34.025,25,28,33,2021-02-08,"CH"
2021-01-24,28,29,30,30,31,32,33,33,34,36,39,29,32,37,2021-02-08,"CH"
2021-01-25,63,63,64,65,65,66,67,68,69,70,73,63,66,72,2021-02-08,"CH"
2021-01-26,69,70,71,71,72,73,74,75,76,77,80,69,73,79,2021-02-08,"CH"
2021-01-27,58,59,60,60,61,63,64,65,66,68,71,58,63,70,2021-02-08,"CH"
2021-01-28,54,55,57,57,58,60,61,62,63,65,69,55,60,67,2021-02-08,"CH"
2021-01-29,48,50,51,52,53,54,56,58,59,61,65,49,54,63,2021-02-08,"CH"
2021-01-30,35,37,38,39,40,41,43,45,46,49,54,36,41,51,2021-02-08,"CH"
2021-01-31,30,32,33,34,35,37,39,41,42,45.1,51,31,37,48,2021-02-08,"CH"
2021-02-01,55,57,59,59,61,63,65,67,68,72,80,56,63,75.05,2021-02-08,"CH"
2021-02-02,50,53,55,56,58,60,63,65,67,71,78,51,60,74,2021-02-08,"CH"
2021-02-03,47,50,52,53,55,58,62,65,67,71,78.025,48.95,58,75,2021-02-08,"CH"
2021-02-04,36,39,42,43,45,49,53,55.25,57,63,73,37,49,68,2021-02-08,"CH"
2021-02-05,29,34,36,37,40,44,49,52.25,55,62,73,31,44,69.05,2021-02-08,"CH"
2021-02-06,9,13,16,18,22,27,31,36,38,47,61,11,27,54,2021-02-08,"CH"
2021-02-07,10,15,19,21,24,30,36,40,44,54,71.025,11,30,61,2021-02-08,"CH"
2021-02-08,11,17,22,24,27,33,39,46,50.2,63,83.025,14,33,72.05,2021-02-08,"CH"
2021-01-05,129,129,129,129,129,129,129,129,129,129,129,129,129,129,2021-02-09,"CH"
2021-01-06,119,119,119,119,119,119,119,119,119,119,119,119,119,119,2021-02-09,"CH"
