"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"CH",2021-04-01,2021-03-16,"quantile",0.2,51,"COVID-19","Epiforecast",FALSE,53
"CH",2021-04-01,2021-03-17,"quantile",0.2,50,"COVID-19","Epiforecast",FALSE,52
"CH",2021-04-01,2021-03-18,"quantile",0.2,54,"COVID-19","Epiforecast",FALSE,62
"CH",2021-04-01,2021-03-19,"quantile",0.2,60,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-20,"quantile",0.2,46,"COVID-19","Epiforecast",FALSE,47
"CH",2021-04-01,2021-03-21,"quantile",0.2,42,"COVID-19","Epiforecast",FALSE,45
"CH",2021-04-01,2021-03-22,"quantile",0.2,64,"COVID-19","Epiforecast",FALSE,63
"CH",2021-04-01,2021-03-23,"quantile",0.2,52,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-24,"quantile",0.2,62,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-25,"quantile",0.2,58,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-26,"quantile",0.2,62,"COVID-19","Epiforecast",FALSE,72
"CH",2021-04-01,2021-03-27,"quantile",0.2,65,"COVID-19","Epiforecast",FALSE,73
"CH",2021-04-01,2021-03-28,"quantile",0.2,51,"COVID-19","Epiforecast",FALSE,56
"CH",2021-04-01,2021-03-29,"quantile",0.2,71,"COVID-19","Epiforecast",FALSE,78
"CH",2021-04-01,2021-03-30,"quantile",0.2,65,"COVID-19","Epiforecast",FALSE,76
"CH",2021-04-01,2021-03-31,"quantile",0.2,50,"COVID-19","Epiforecast",FALSE,73
"CH",2021-04-01,2021-04-01,"quantile",0.2,48,"COVID-19","Epiforecast",FALSE,74
"CH",2021-04-01,2021-02-25,"quantile",0.35,48,"COVID-19","Epiforecast",FALSE,49
"CH",2021-04-01,2021-02-26,"quantile",0.35,33,"COVID-19","Epiforecast",FALSE,33
"CH",2021-04-01,2021-02-27,"quantile",0.35,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-04-01,2021-02-28,"quantile",0.35,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-04-01,2021-03-01,"quantile",0.35,43,"COVID-19","Epiforecast",FALSE,42
"CH",2021-04-01,2021-03-02,"quantile",0.35,52,"COVID-19","Epiforecast",FALSE,52
"CH",2021-04-01,2021-03-03,"quantile",0.35,54,"COVID-19","Epiforecast",FALSE,54
"CH",2021-04-01,2021-03-04,"quantile",0.35,39,"COVID-19","Epiforecast",FALSE,39
"CH",2021-04-01,2021-03-05,"quantile",0.35,48,"COVID-19","Epiforecast",FALSE,48
"CH",2021-04-01,2021-03-06,"quantile",0.35,38,"COVID-19","Epiforecast",FALSE,41
"CH",2021-04-01,2021-03-07,"quantile",0.35,39,"COVID-19","Epiforecast",FALSE,39
"CH",2021-04-01,2021-03-08,"quantile",0.35,61,"COVID-19","Epiforecast",FALSE,62
"CH",2021-04-01,2021-03-09,"quantile",0.35,39,"COVID-19","Epiforecast",FALSE,38
"CH",2021-04-01,2021-03-10,"quantile",0.35,52,"COVID-19","Epiforecast",FALSE,55
"CH",2021-04-01,2021-03-11,"quantile",0.35,45,"COVID-19","Epiforecast",FALSE,45
"CH",2021-04-01,2021-03-12,"quantile",0.35,49,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-13,"quantile",0.35,40,"COVID-19","Epiforecast",FALSE,40
"CH",2021-04-01,2021-03-14,"quantile",0.35,49,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-15,"quantile",0.35,68,"COVID-19","Epiforecast",FALSE,70
"CH",2021-04-01,2021-03-16,"quantile",0.35,52,"COVID-19","Epiforecast",FALSE,53
"CH",2021-04-01,2021-03-17,"quantile",0.35,51,"COVID-19","Epiforecast",FALSE,52
"CH",2021-04-01,2021-03-18,"quantile",0.35,55,"COVID-19","Epiforecast",FALSE,62
"CH",2021-04-01,2021-03-19,"quantile",0.35,61,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-20,"quantile",0.35,47,"COVID-19","Epiforecast",FALSE,47
"CH",2021-04-01,2021-03-21,"quantile",0.35,43,"COVID-19","Epiforecast",FALSE,45
"CH",2021-04-01,2021-03-22,"quantile",0.35,65,"COVID-19","Epiforecast",FALSE,63
"CH",2021-04-01,2021-03-23,"quantile",0.35,53,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-24,"quantile",0.35,64,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-25,"quantile",0.35,60,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-26,"quantile",0.35,65,"COVID-19","Epiforecast",FALSE,72
"CH",2021-04-01,2021-03-27,"quantile",0.35,67,"COVID-19","Epiforecast",FALSE,73
"CH",2021-04-01,2021-03-28,"quantile",0.35,54,"COVID-19","Epiforecast",FALSE,56
"CH",2021-04-01,2021-03-29,"quantile",0.35,74,"COVID-19","Epiforecast",FALSE,78
"CH",2021-04-01,2021-03-30,"quantile",0.35,70,"COVID-19","Epiforecast",FALSE,76
"CH",2021-04-01,2021-03-31,"quantile",0.35,56,"COVID-19","Epiforecast",FALSE,73
"CH",2021-04-01,2021-04-01,"quantile",0.35,54,"COVID-19","Epiforecast",FALSE,74
"CH",2021-04-01,2021-02-25,"quantile",0.5,48,"COVID-19","Epiforecast",FALSE,49
"CH",2021-04-01,2021-02-26,"quantile",0.5,33,"COVID-19","Epiforecast",FALSE,33
"CH",2021-04-01,2021-02-27,"quantile",0.5,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-04-01,2021-02-28,"quantile",0.5,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-04-01,2021-03-01,"quantile",0.5,43,"COVID-19","Epiforecast",FALSE,42
"CH",2021-04-01,2021-03-02,"quantile",0.5,52,"COVID-19","Epiforecast",FALSE,52
"CH",2021-04-01,2021-03-03,"quantile",0.5,55,"COVID-19","Epiforecast",FALSE,54
"CH",2021-04-01,2021-03-04,"quantile",0.5,40,"COVID-19","Epiforecast",FALSE,39
"CH",2021-04-01,2021-03-05,"quantile",0.5,49,"COVID-19","Epiforecast",FALSE,48
"CH",2021-04-01,2021-03-06,"quantile",0.5,39,"COVID-19","Epiforecast",FALSE,41
"CH",2021-04-01,2021-03-07,"quantile",0.5,40,"COVID-19","Epiforecast",FALSE,39
"CH",2021-04-01,2021-03-08,"quantile",0.5,61,"COVID-19","Epiforecast",FALSE,62
"CH",2021-04-01,2021-03-09,"quantile",0.5,39,"COVID-19","Epiforecast",FALSE,38
"CH",2021-04-01,2021-03-10,"quantile",0.5,52,"COVID-19","Epiforecast",FALSE,55
"CH",2021-04-01,2021-03-11,"quantile",0.5,45,"COVID-19","Epiforecast",FALSE,45
"CH",2021-04-01,2021-03-12,"quantile",0.5,49,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-13,"quantile",0.5,40,"COVID-19","Epiforecast",FALSE,40
"CH",2021-04-01,2021-03-14,"quantile",0.5,50,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-15,"quantile",0.5,68,"COVID-19","Epiforecast",FALSE,70
