"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"CH",2021-05-01,2021-04-21,"quantile",0.35,84,"COVID-19","Epiforecast",FALSE,81
"CH",2021-05-01,2021-04-22,"quantile",0.35,63,"COVID-19","Epiforecast",FALSE,59
"CH",2021-05-01,2021-04-23,"quantile",0.35,72,"COVID-19","Epiforecast",FALSE,67
"CH",2021-05-01,2021-04-24,"quantile",0.35,68,"COVID-19","Epiforecast",FALSE,62
"CH",2021-05-01,2021-04-25,"quantile",0.35,61,"COVID-19","Epiforecast",FALSE,53
"CH",2021-05-01,2021-04-26,"quantile",0.35,97,"COVID-19","Epiforecast",FALSE,89
"CH",2021-05-01,2021-04-27,"quantile",0.35,89,"COVID-19","Epiforecast",FALSE,69
"CH",2021-05-01,2021-04-28,"quantile",0.35,82,"COVID-19","Epiforecast",FALSE,62
"CH",2021-05-01,2021-04-29,"quantile",0.35,65,"COVID-19","Epiforecast",FALSE,62
"CH",2021-05-01,2021-04-30,"quantile",0.35,62,"COVID-19","Epiforecast",FALSE,57
"CH",2021-05-01,2021-05-01,"quantile",0.35,63,"COVID-19","Epiforecast",FALSE,61
"CH",2021-05-01,2021-03-27,"quantile",0.5,73,"COVID-19","Epiforecast",FALSE,73
"CH",2021-05-01,2021-03-28,"quantile",0.5,57,"COVID-19","Epiforecast",FALSE,56
"CH",2021-05-01,2021-03-29,"quantile",0.5,78,"COVID-19","Epiforecast",FALSE,78
"CH",2021-05-01,2021-03-30,"quantile",0.5,77,"COVID-19","Epiforecast",FALSE,76
"CH",2021-05-01,2021-03-31,"quantile",0.5,74,"COVID-19","Epiforecast",FALSE,73
"CH",2021-05-01,2021-04-01,"quantile",0.5,74,"COVID-19","Epiforecast",FALSE,74
"CH",2021-05-01,2021-04-02,"quantile",0.5,68,"COVID-19","Epiforecast",FALSE,67
"CH",2021-05-01,2021-04-03,"quantile",0.5,78,"COVID-19","Epiforecast",FALSE,77
"CH",2021-05-01,2021-04-04,"quantile",0.5,77,"COVID-19","Epiforecast",FALSE,78
"CH",2021-05-01,2021-04-05,"quantile",0.5,69,"COVID-19","Epiforecast",FALSE,69
"CH",2021-05-01,2021-04-06,"quantile",0.5,86,"COVID-19","Epiforecast",FALSE,87
"CH",2021-05-01,2021-04-07,"quantile",0.5,66,"COVID-19","Epiforecast",FALSE,66
"CH",2021-05-01,2021-04-08,"quantile",0.5,94,"COVID-19","Epiforecast",FALSE,93
